part_number,name,category,unit_price,unit,lead_time_days,min_order_qty,supplier_code
PRT-10001,曲轴锻件,发动机,2850.0,件,21,100,SUP-001
PRT-10002,ECU 电子控制单元,电子,1200.0,件,30,500,SUP-002
PRT-10003,空调压缩机,空调,680.0,件,14,200,SUP-003
PRT-10004,万向节总成,传动,320.0,件,10,300,SUP-004
PRT-10005,ABS 制动模块,制动,950.0,件,18,200,SUP-005
PRT-10006,自动变速箱阀体,变速箱,4200.0,件,35,50,SUP-006
PRT-10007,铝合金轮毂 18寸,底盘,580.0,件,7,400,SUP-007
PRT-10008,电动助力转向机,转向,1580.0,件,25,100,SUP-008
PRT-10009,涡轮增压器,发动机,3500.0,件,28,80,SUP-002
PRT-10010,缸体铸件,发动机,1950.0,件,18,150,SUP-001
PRT-10011,雷达传感器,电子,860.0,件,20,300,SUP-005
PRT-10012,散热器总成,散热,420.0,件,12,200,SUP-003
